"This is a list of medallists at the Summer Olympic Games (1896-2004) with details of the year of the olympics, city, sport, discipline, athlete name, gender, event and medal",,,,,,,,,,
,,,,,,,,,,
"DISCLAIMER: No guarantees, express or implied, as to the accuracy or completeness of the information provided. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Year,City,Sport,Discipline,Athlete Name,NOC,Gender,Event,Event Gender,Medal,Position
1900,Paris,Athletics,Athletics,"ORTON, George",CAN,Men,400m hurdles,M,Bronze,3
1900,Paris,Athletics,Athletics,"TEWKSBURY, Walter B. John",USA,Men,400m hurdles,M,Gold,1
1900,Paris,Athletics,Athletics,"TAUZIN, Henri",FRA,Men,400m hurdles,M,Silver,2
1900,Paris,Athletics,Athletics,"BENNETT, Charles",ZZX,Men,5000m team,M,Gold,1
1900,Paris,Athletics,Athletics,"RIMMER, John",ZZX,Men,5000m team,M,Gold,1
1900,Paris,Athletics,Athletics,"ROBINSON, Sidney",ZZX,Men,5000m team,M,Gold,1
1900,Paris,Athletics,Athletics,"ROWLEY, Stanley",ZZX,Men,5000m team,M,Gold,1
1900,Paris,Athletics,Athletics,"TYSOE, Alfred",ZZX,Men,5000m team,M,Gold,1
1900,Paris,Athletics,Athletics,"CASTANET, André",FRA,Men,5000m team,M,Silver,2
1900,Paris,Athletics,Athletics,"CHAMPOUDRY, Michel",FRA,Men,5000m team,M,Silver,2
1900,Paris,Athletics,Athletics,"CHASTANIE, Jacques",FRA,Men,5000m team,M,Silver,2
1900,Paris,Athletics,Athletics,"DELOGE, Henri",FRA,Men,5000m team,M,Silver,2
1900,Paris,Athletics,Athletics,"RAGUENEAU, Gaston",FRA,Men,5000m team,M,Silver,2
1900,Paris,Shooting,Shooting,"BOUWENS, Antonius",NED,Men,"50m army pistol, team",M,Bronze,3
1900,Paris,Shooting,Shooting,"SILLEM, Henrik",NED,Men,"50m army pistol, team",M,Bronze,3
1900,Paris,Shooting,Shooting,"SWEYS, Anthony Ahasuerus",NED,Men,"50m army pistol, team",M,Bronze,3
1900,Paris,Shooting,Shooting,"VAN DEN BERGH, Solko Johannes",NED,Men,"50m army pistol, team",M,Bronze,3
1900,Paris,Shooting,Shooting,"VAN HAAN, Gerardus",NED,Men,"50m army pistol, team",M,Bronze,3
1900,Paris,Shooting,Shooting,"LÜTHI, Friedrich",SUI,Men,"50m army pistol, team",M,Gold,1
1900,Paris,Shooting,Shooting,"PROBST, Paul",SUI,Men,"50m army pistol, team",M,Gold,1
